STATE/UT,DISTRICT,TEHSIL,VILLAGE,SITE,WELL DEPTH,AQUIFER,pH,electrical conductivity,TDS (mg/l),Total Hardness (mg/l),Calcium (mg/l),Magnesium (mg/l),Sodium (mg/l),Potassium (mg/l),Carbonate (mg/l),Bicarbonate (mg/l),Sulphate (mg/l),Chloride (mg/l),Fluoride (mg/l),Nitrate (mg/l),Sodium (mg/l),LATITUDE,LONGITUDE,WELL TYPE,Jan-23,May-22,Aug-22,Nov-22
Andhra Pradesh,Anantapur,Lepakshi,Kanchisamudram,Kanchisamudram- DW13,176.85,Semi Confined,7.255397261,3.976924772,0.515091786,0.314034277,105.5923819,33.96827713,522.0340765,31.94160352,45.1656333,133.075814,21.88429144,365.0383109,0.740923701,5.947112295,210.6205106,13.7752,77.6117,Dug Well,2.2,2.4,1.5,1.81
Andhra Pradesh,Anantapur,Madakasira,Kothalagutta-Dw,Kothalagutta-DW,159.5211,Granite,7.255397261,1.909829017,0.506885124,0.255900927,105.5923819,29.79985957,522.0340765,28.22209704,20.16912415,69.3606975,7.902453807,360.5529913,0.706629655,5.111196972,185.6877314,13.9206,77.2191,Dug Well,1.22,1.18,0.52,1.01
Andhra Pradesh,Anantapur,Madakasira,Madakasira,Madakasira1,158.2055,Semi Confined,7.255397261,4.115215394,0.409578152,0.384792982,105.5923819,41.33946149,522.0340765,21.76060068,22.90625492,153.6944309,19.11843407,275.4262609,0.721871909,7.234781896,224.4698136,13.9411,77.276,Dug Well,0.6,0.45,0.25,0.55
Andhra Pradesh,Anantapur,Mudigubba,Adivi Brahmanapalli,Adivi Brahmanapalli,107.0319,Semi confined,7.255397261,2.951496836,0.513049878,0.226862198,105.5923819,35.22019747,522.0340765,25.37831522,57.68255,75.6379039,21.71284671,298.6060541,0.720164051,2.480726329,216.9255707,14.3549,78.0366,Dug Well,0.08,0.14,0.08,0.01
Andhra Pradesh,Anantapur,Nallacheruvu,Nallacheruvu,Nallacheruvu 2013DW,125.5176,Semi confined,7.255397261,2.295457158,0.335199128,0.195667064,105.5923819,37.97542476,522.0340765,18.50447631,46.85898752,154.7878592,22.20580921,322.3817299,0.886956135,6.666721806,254.6449273,13.987,78.1878,Dug Well,6.58,6.5,6.8,6.75
Andhra Pradesh,Anantapur,Nallamada,Muthyalacherevu Poolabhavi,Muthyalacherevu Poolabhavi-DW14,105.3205,Semi confined,7.255397261,4.198619581,0.364810434,0.235533446,105.5923819,28.45522219,522.0340765,31.36713176,44.70183974,80.72523662,17.4909106,181.9050292,0.892544662,2.477731591,252.3194893,14.1031,78.0998,Dug Well,0.2,1.82,0.15,0.15
Andhra Pradesh,Anantapur,Penukonda,Penukonda,Penukonda,124.4203,Semi confined,7.255397261,2.943917879,0.397392959,0.174678965,105.5923819,38.50548504,522.0340765,20.65038098,56.64010116,115.451969,5.056194815,432.6833278,0.692078403,7.002482575,201.3301613,14.0863,77.5976,Dug Well,4.18,7.88,4.48,3.83
Andhra Pradesh,Anantapur,Rayadurg,Rayadurg,Rayadurg-new,124.8447,Semi Confined,7.255397261,3.104730611,0.28688098,0.167839806,105.5923819,38.205872,522.0340765,21.67556068,27.79512354,57.07042431,9.710646881,463.5444604,0.748948007,8.778994627,222.8384012,14.7054,76.8484,Dug Well,3.1,2.66,3.38,2.95
Andhra Pradesh,Anantapur,Tadipatri,Tadipatri,Tadipatri-PZ,104.5381,Semi confined,7.255397261,2.53960027,0.511361574,0.293373237,105.5923819,27.55114796,522.0340765,21.16887356,44.66731456,80.91796269,11.74733018,365.8000373,0.858972457,2.002146117,217.9108926,14.9088,77.9952,Bore Well,9.6,10.55,7.3,9.03
Andhra Pradesh,Anantapur,Talupula,Talapula,Talapula-PZ,100.6821,Semi confined,7.255397261,3.939082733,0.491485087,0.227686153,105.5923819,33.56535047,522.0340765,29.25523233,33.87659923,48.594286,15.7403319,451.1243792,0.687082402,9.059367754,182.7189297,14.2421,78.2557,Bore Well,4.84,6.36,5.5,4.57
Andhra Pradesh,Anantapur,Tanakal,Tanakallu,Tanakallu-PZ,127.9565,Semi confined,7.255397261,3.386396973,0.406535708,0.189020659,105.5923819,34.77809401,522.0340765,22.16747159,15.75882424,167.4910297,20.5237858,236.3893517,0.746223698,4.251274969,222.1333237,13.9171,78.196,Bore Well,6.3,6.33,5.9,6.6
Andhra Pradesh,Anantapur,Uravakonda,Amidala,Amidala,123.6141,Semi Confined,7.255397261,3.433440158,0.356385197,0.436331505,105.5923819,38.13228625,522.0340765,17.47786035,47.979887,119.1983266,5.221495862,389.4776873,0.70784518,5.813107672,236.3273576,14.851,77.2501,Dug Well,1.7,3.95,2.65,1.26
Andhra Pradesh,Anantapur,Vajrakarur,Vajrakarur,Vajrakarur,124.1156,Semi Confined,7.255397261,1.696105922,0.300798985,0.228561863,105.5923819,37.08156999,522.0340765,18.6069673,42.10722223,57.3193909,18.51730258,320.2696423,0.826792876,3.570563005,226.8922007,15.0304,77.3831,Dug Well,3.76,6.2,6.49,2.3
Andhra Pradesh,Chittoor,Bangarupalem,Shankrantipalli,Shankrantipalli,265.06,Semi Confined,7.255397261,2.724269008,0.422017655,0.087933719,105.5923819,31.42043905,522.0340765,21.45043057,38.99154981,38.31123831,20.66207548,348.1257072,0.970549782,1.29780268,202.3590852,13.1956,79.004,Dug Well,5.08,5.46,5.2,5.9
Andhra Pradesh,Chittoor,Chandragiri,Mungilipattu,Mungilipattu,203.8234,Semi confined,7.255397261,1.701040142,0.392236956,0.507420911,105.5923819,35.23442953,522.0340765,24.33848011,47.28321015,66.73384655,16.08496756,244.7690832,0.959465635,5.767106661,189.1038025,13.5609,79.2493,Dug Well,3.25,3.41,3.46,3.33
Andhra Pradesh,Chittoor,Kalakada,Kalakoda,Kalakoda,180.7333,Semi confined,7.255397261,2.824276419,0.312781373,0.185751596,105.5923819,36.81795569,522.0340765,23.88711865,52.91606717,87.07116326,16.33828864,322.2113613,0.837048466,3.875928422,247.8152377,13.8275,78.7878,Dug Well,4.27,4.7,4.85,4.28
Andhra Pradesh,Chittoor,Kammapalli,Balezapalli,BalezapalliDW15,195.3748,Semi confined,7.255397261,1.836109957,0.563940075,0.085836148,105.5923819,34.72908861,522.0340765,19.0076251,18.48306078,146.2371074,22.0627066,168.4717866,0.725620312,6.518313128,254.2712029,13.5213,79.3807,Dug Well,1.96,3.04,2.76,2.39
Andhra Pradesh,Chittoor,Madanapalle,Arogyavaram,Arogyavaram,185.4767,Semi confined,7.255397261,1.697401917,0.631375596,0.388845874,105.5923819,33.2431347,522.0340765,22.88728021,20.41708051,168.0367483,19.15352378,341.9224302,0.800658493,4.355091223,200.3632044,13.5934,78.527,Dug Well,5.95,5.17,7.32,2.2
Andhra Pradesh,Chittoor,Nagalapuram,Baitakodiambedu,Baitakodiambedu- DW13,278.3802,Semi confined,7.255397261,1.325606575,0.441865619,0.303698386,105.5923819,29.39802665,522.0340765,30.27826076,12.74635413,102.7953799,16.11836179,315.956618,0.90551499,1.504205562,243.4477726,13.3695,79.8143,Dug Well,4.32,4.91,1.0,5.0
Andhra Pradesh,Chittoor,Nagalapuram,Nagalapuram,Nagalapuram-DW13,269.4611,Semi confined,7.255397261,3.232194927,0.417276164,0.220938206,105.5923819,34.14205444,522.0340765,18.38660515,50.97342299,160.0933434,6.88742733,464.4670573,0.754143144,7.96213333,198.4729037,13.3955,79.777,Dug Well,1.74,3.76,2.45,2.21
Andhra Pradesh,Chittoor,Nimmanapalle,Chintaparti,Chintaparti-1,202.7355,Semi confined,7.255397261,5.405461946,0.537106643,0.171083913,105.5923819,31.58333484,522.0340765,19.25751737,46.9042278,142.9735339,19.83692326,193.3045722,0.80708864,2.341440433,189.6162534,13.6442,78.7048,Dug Well,0.25,1.59,1.45,0.7
Andhra Pradesh,Chittoor,Pakala,Damalcheruvu,Damalcheruvu,225.8739,Semi confined,7.255397261,3.24938648,0.300115805,0.262204789,105.5923819,34.85588041,522.0340765,20.91302608,15.9988298,113.5725752,7.7023555,412.8819376,0.907908029,2.125451711,202.7483778,13.478,79.0482,Dug Well,1.98,4.01,0.71,0.4
Andhra Pradesh,Chittoor,Palamaner,Duginevaripalli,Duginevaripalli,232.0082,Semi Confined,7.255397261,2.577989991,0.518266321,0.346876145,105.5923819,40.51921357,522.0340765,24.53775639,39.97445014,106.063837,4.866093349,276.3640236,0.938614281,7.836090242,220.2902245,13.1478,78.6612,Dug Well,1.7,1.41,1.03,1.03
Andhra Pradesh,Chittoor,Palamaner,M.Kotur,M.Kotur-NQM,227.9655,Semi Confined,7.255397261,3.672371749,0.367190206,0.280617892,105.5923819,36.48392169,522.0340765,31.0263718,34.30181243,125.3943257,21.03742334,455.7595396,0.93449585,6.118253024,256.8749748,13.1037,78.7529,Bore Well,2.31,4.48,2.3,3.28
Andhra Pradesh,Chittoor,Palamaner,Palamaneru,Palamaneru-2,264.5,Semi Confined,7.255397261,4.794810231,0.366186331,0.208784218,105.5923819,49.94668086,522.0340765,24.35644617,49.14639619,159.1967058,6.086776425,163.6047129,0.944108944,2.075589983,189.4048952,13.1991,78.7451,Dug Well,0.25,0.93,0.29,0.17
Andhra Pradesh,Chittoor,Puttur,Puttur,Puttur 2014 DW,222.4197,Semi confined,7.255397261,2.359850135,0.42286553,0.176306393,105.5923819,36.59797386,522.0340765,22.26893568,53.97864121,130.9596266,9.056771117,337.5148752,0.791656977,1.955055974,211.4400521,13.4447,79.551,Dug Well,0.01,1.18,0.22,0.32
Andhra Pradesh,Chittoor,Renigunta,Guntuvaripalli,Guntuvaripalli-DW13,200.69,Semi confined,7.255397261,2.158702023,0.459547916,0.167250443,105.5923819,38.50855861,522.0340765,26.00458701,28.0020507,144.7647192,13.27578034,445.9995659,0.896819021,6.290374362,250.2390963,13.6514,79.5425,Dug Well,2.65,4.53,3.91,2.58
Andhra Pradesh,Chittoor,Satyavedu,Madambedu,Madambedu-DW14,262.1829,Semi confined,7.255397261,2.883194759,0.408427732,0.337046583,105.5923819,38.44807322,522.0340765,31.15304924,14.38167472,167.256544,22.71510371,282.3060281,0.881004935,8.294949412,215.9450309,13.4115,79.9286,Dug Well,6.99,7.83,8.46,8.1
Andhra Pradesh,Chittoor,Sodum,Battuvaripalli,Battuvaripalli,199.6448,Semi confined,7.255397261,2.569786144,0.3794617,0.380399987,105.5923819,36.08560217,522.0340765,34.08258019,44.63561201,144.6380534,14.94310531,204.7074849,0.820244614,6.538029409,249.3447653,13.5471,78.9166,Dug Well,1.25,1.46,0.3,1.5
Andhra Pradesh,Chittoor,Srikalahasthi,Erpedu,Erpedu1,198.0865,Semi confined,7.255397261,3.38040269,0.468449983,0.196071288,105.5923819,36.23021542,522.0340765,32.1237488,17.96418844,166.1157981,24.45256162,258.5145064,0.709531566,2.439469844,208.9690181,13.6972,79.594,Dug Well,0.78,2.79,2.68,0.4
Andhra Pradesh,Chittoor,Srikalahasthi,Srikalahasthi,Srikalahasthi 2013DW,203.0074,Semi confined,7.255397261,2.771245042,0.499465532,0.281982135,105.5923819,31.73759342,522.0340765,21.15062059,48.90643018,139.1270928,15.98274185,256.724497,0.69884734,7.663346147,193.8662528,13.7524,79.7025,Dug Well,2.04,4.52,3.82,3.35
Andhra Pradesh,Chittoor,Srirangarajupuram,Arumakapalli,Arumakapalli-DW14,295.2075,Semi confined,7.255397261,4.109019793,0.33963735,0.189116836,105.5923819,33.49151504,522.0340765,34.05929643,15.82088407,164.4035405,15.59766948,210.6607135,0.958735024,4.126681219,218.6747792,13.3033,79.2871,Dug Well,7.18,1.11,5.81,5.6
Andhra Pradesh,Chittoor,Thambalapalle,Kandlamadugu,Kandlamadugu,177.3425,Semi confined,7.255397261,2.773988465,0.270244265,0.190086611,105.5923819,30.62348221,522.0340765,32.73939523,18.92276884,68.50243212,4.525867124,199.0522407,0.872869051,4.908482629,236.2500787,13.6663,78.4184,Dug Well,0.93,3.67,4.2,2.68
Andhra Pradesh,Chittoor,Tirupati(R),Suritipalli,Suritipalli,283.3897,Semi confined,7.255397261,3.487560191,0.369558832,0.25087267,105.5923819,32.51666674,522.0340765,29.76090988,10.07346314,159.4832195,21.08369018,277.6925658,1.012155267,2.906536383,244.3008566,13.3354,79.873,Dug Well,0.31,2.62,1.06,0.18
Andhra Pradesh,Chittoor,Tirupati(R),Tayyuru,Tayyuru,295.2075,Semi confined,7.255397261,2.038099359,0.349358832,0.237135858,105.5923819,29.21386574,522.0340765,19.03658065,32.49728258,162.0782046,13.91458601,452.6408245,0.955413601,1.849794436,259.1024843,13.3029,79.3113,Dug Well,5.3,5.86,7.02,7.15
Andhra Pradesh,Chittoor,Tirupati(R),Tirumala,Tirumala1,201.16,Semi confined,7.255397261,2.070148815,0.376309227,0.350652405,105.5923819,44.37412017,522.0340765,20.85965398,43.16115958,45.52147094,6.425211279,286.605992,0.784906059,3.590385159,256.0785132,13.6848,79.3446,Dug Well,2.8,2.61,2.32,1.49
Andhra Pradesh,Chittoor,Tirupati(U),Tirupati(U),Tirupati(U),202.7355,Semi confined,7.255397261,2.376053537,0.47278822,0.410113265,105.5923819,35.65146929,522.0340765,20.00488903,13.43751613,156.0581693,7.823454,350.2414582,0.981851176,5.258336243,209.245636,13.6425,79.4215,Dug Well,3.94,6.13,5.75,5.08
Andhra Pradesh,Chittoor,Varadaiahpalem,Chinna Panduru,Chinna panduru,199.6448,Semi confined,7.255397261,3.331540087,0.360859882,0.15243128,105.5923819,31.98988457,522.0340765,23.55748717,21.31543699,161.3084255,8.68211368,164.1732329,0.915224502,1.313286979,250.260083,13.5444,79.9417,Dug Well,0.61,2.98,3.42,1.87
Andhra Pradesh,Chittoor,Vayalpadu,Thurukupalli,Thurukupalli-DW14,202.9155,Semi confined,7.255397261,4.192375692,0.510003122,0.470138947,105.5923819,28.72494593,522.0340765,23.19302155,37.04188754,98.37601915,23.0025512,301.5139763,0.980536193,9.160219413,221.4357209,13.6238,78.6994,Dug Well,1.6,1.62,0.94,1.68
Andhra Pradesh,Chittoor,Vedurukuppam,Karvetnagar,Karvetnagar1,263.5529,Semi confined,7.255397261,2.317338805,0.544373544,0.601410359,105.5923819,30.93920257,522.0340765,30.56539772,44.43265189,94.97183233,23.46303497,381.9041553,0.726794931,7.704693381,226.6086065,13.4262,79.4531,Dug Well,3.82,4.46,3.77,4.72
Andhra Pradesh,Chittoor,Venkatagirikota,Venkatagirikota,Venkatagirikota,191.3624,Semi Confined,7.255397261,1.817380884,0.36951981,0.191998905,105.5923819,38.82130939,522.0340765,29.39205235,46.11143538,56.46930643,14.27806004,441.9276024,0.870198614,5.393294826,189.1356976,13.0008,78.4793,Dug Well,4.67,5.84,4.75,5.47
Andhra Pradesh,Chittoor,Yadamarri,Muddu Rampuram,Muddu Rampuram- DW13,224.0418,Semi Confined,7.255397261,3.915552689,0.336690296,0.21597839,105.5923819,25.30221508,522.0340765,18.27568919,33.84866269,38.49388082,6.000725617,231.4845983,0.717978035,5.327675871,237.6171956,13.1097,78.9953,Dug Well,3.55,3.96,3.45,2.96
Andhra Pradesh,Chittoor,Yerpedu,Yerpedu,Palem-DW14,184.9168,Semi confined,7.255397261,2.033038791,0.368097386,0.240690503,105.5923819,26.76631209,522.0340765,25.1768777,43.88279464,89.5767371,5.297844457,163.6252152,0.999454382,1.20935942,257.0755493,13.8202,79.5848,Dug Well,1.42,1.95,2.47,1.73
Andhra Pradesh,Cuddapah,Chakrayapeta,Mahadevpalle,Mahadevpalle,100.4626,Semi confined,7.255397261,3.746678552,0.45423485,0.25581185,105.5923819,32.41355944,522.0340765,30.27234381,23.32282803,44.50998092,6.310091795,180.9161566,1.009018345,5.327012913,184.0003681,14.2098,78.5179,Bore Well,2.23,4.26,3.53,2.0
Andhra Pradesh,Cuddapah,Chapad,Alludupally,Alludupally,102.5813,Semi confined,7.255397261,3.505786941,0.360855882,0.239368127,105.5923819,35.22736882,522.0340765,23.20027133,21.47671952,47.81322368,18.57725145,346.4347948,0.755501808,5.833095628,259.9483803,14.7193,78.6771,Dug Well,2.29,3.82,4.5,0.59
Andhra Pradesh,Cuddapah,Chapad,Vishwanathpuram,Vishwanathpuram DW13,102.5813,Semi confined,7.255397261,3.237478355,0.440566733,0.125786282,105.5923819,44.31928798,522.0340765,19.252608,17.3961981,142.8030082,7.103040518,295.6494816,0.738277469,3.590279961,226.9120789,14.7253,78.7075,Dug Well,2.45,1.39,1.35,0.63
Andhra Pradesh,Cuddapah,Chinnamandyam,Chinnamandyam,Chinnamandyam,110.2053,Semi confined,7.255397261,2.632293422,0.415292217,0.156146497,105.5923819,36.32726281,522.0340765,31.56098433,38.05261883,155.0352473,17.61540406,450.6881044,0.859599556,5.103847983,230.6548442,13.9495,78.6884,Bore Well,2.23,4.13,2.65,4.88
Andhra Pradesh,Cuddapah,D.Kodur,Mallepalle,Mallepalle,104.5381,Semi confined,7.255397261,2.633539252,0.360310851,0.176565436,105.5923819,33.45594002,522.0340765,32.97275502,11.56732597,103.6379288,22.89150169,188.5852863,0.937910998,5.079741093,186.4384741,14.8889,78.8807,Dug Well,3.5,4.34,11.7,3.9
Andhra Pradesh,Cuddapah,Duvvur,Kanagudur,Kanagudur-DW14,104.5381,Semi confined,7.255397261,3.360002669,0.38715831,0.321929875,105.5923819,26.70030095,522.0340765,31.94169095,42.74793534,150.0092543,24.46823034,351.4553536,0.889385529,7.515520735,220.0722644,14.9166,78.6176,Dug Well,1.35,1.81,0.36,0.16
Andhra Pradesh,Cuddapah,Galiveedu,Galiveedu,Galiveedu-alt,108.8299,Semi confined,7.255397261,2.793740254,0.44744183,0.377118592,105.5923819,41.65925537,522.0340765,25.56341801,49.62284524,38.31823171,13.22417874,236.0493162,0.992542833,3.766021114,194.0792021,14.0248,78.5027,Dug Well,0.75,1.21,1.0,1.0
Andhra Pradesh,Cuddapah,Kamalapuram,Chadipirala T,Chadipirala T-DW14,99.5019,Semi confined,7.255397261,1.886741059,0.376795979,0.162563712,105.5923819,38.11138255,522.0340765,21.20774932,57.72928166,98.71012044,24.37334347,273.2800619,0.918159564,1.397651031,187.0123108,14.5221,78.637,Dug Well,0.85,1.3,1.27,0.43
Andhra Pradesh,Cuddapah,Khazipet,Pathur,Pathur DW13,101.0224,Semi confined,7.255397261,3.617981826,0.429297813,0.357806654,105.5923819,36.03140446,522.0340765,31.36167569,36.86649286,38.23875411,5.880313998,288.9252482,0.947079877,3.354501303,187.4000883,14.6472,78.7751,Dug Well,1.9,1.9,2.3,1.47
Andhra Pradesh,Cuddapah,Kodur,Koduru,Koduru-DW13,110.8755,Semi confined,7.255397261,2.18925604,0.517650694,0.216450106,105.5923819,37.39932828,522.0340765,31.36940239,12.15151113,119.1924354,21.5804009,166.5015555,0.902600344,6.693959266,194.7806607,13.9587,79.3532,Dug Well,5.15,7.65,8.25,5.56
Andhra Pradesh,Cuddapah,Kodur,Prabhalaveedu,Prabhalaveedu,103.164,Semi confined,7.255397261,2.894715598,0.416559565,0.269425758,105.5923819,34.02146391,522.0340765,24.67341904,16.290505,143.6164892,7.041524033,290.6032941,0.912771614,5.862016695,214.04757,14.7926,79.0091,Bore Well,1.45,2.91,3.7,3.6
Andhra Pradesh,Cuddapah,Kodur,Sagileru,Sagileru,105.8076,Semi confined,7.255397261,1.94416823,0.36923563,0.244596069,105.5923819,27.38448303,522.0340765,26.62449057,18.35416045,150.4490554,17.73063108,260.0497387,0.932927741,8.959882086,219.8097066,14.9507,78.9549,Bore Well,10.02,11.14,10.7,5.77
Andhra Pradesh,Cuddapah,Kondapuram,Donkapalli Satram,Donkapalli Satram- DW13,102.5813,Semi confined,7.255397261,1.55857657,0.519291596,0.224817591,105.5923819,42.90799269,522.0340765,20.73682607,17.8088485,97.35422801,15.17685577,203.2944328,0.938388478,9.04918276,210.6439567,14.7315,78.1463,Dug Well,2.35,2.99,2.9,1.38
Andhra Pradesh,Cuddapah,Lakkireddipalle,Lakkireddipalli,Lakkireddipalli,94.1626,Semi confined,7.255397261,2.401274672,0.405833795,0.25004829,105.5923819,44.8206957,522.0340765,31.86149689,21.21510593,134.6819078,17.62625655,469.4604489,0.806199575,8.62732512,224.767318,14.1967,78.7314,Dug Well,3.77,5.45,4.93,3.12
Andhra Pradesh,Cuddapah,Lingala,Diguva Lingala,Diguva lingala,102.1719,Semi confined,7.255397261,3.028356513,0.477600136,0.179393811,105.5923819,37.77344634,522.0340765,19.95809169,26.0124085,41.80378049,9.578412784,223.5472274,0.70246985,6.520784155,228.0975703,14.4971,78.1158,Dug Well,5.8,4.75,10.29,7.2
Andhra Pradesh,Cuddapah,Mylavaram,Talamanchipatnm,Talamanchipatnm,105.8076,Semi confined,7.255397261,1.918713131,0.529820592,0.202338359,105.5923819,33.16495427,522.0340765,28.10342796,28.13697733,56.21870721,20.47828476,255.0636221,0.811907176,6.002159798,194.6398541,14.9449,78.3118,Dug Well,0.97,2.2,3.95,1.28
Andhra Pradesh,Cuddapah,Obulavaripalle,Mangampet,Mangampet-EW-AQI,116.2536,Semi confined,7.255397261,3.06328862,0.378023961,0.261876689,105.5923819,42.77626916,522.0340765,34.52586878,22.82179,125.3199484,9.030659072,193.5378179,0.862100888,7.761745212,204.9712844,14.041,79.3085,Bore Well,3.1,7.47,10.0,9.67
Andhra Pradesh,Cuddapah,Penagalur,Reddivaripally,Reddivaripally,107.5474,Semi confined,7.255397261,2.850845485,0.336137019,0.224811884,105.5923819,28.14455608,522.0340765,32.28484323,31.72865765,165.4610305,10.34549193,307.1785209,0.819553508,3.788275583,208.4026845,14.3219,79.2892,Bore Well,2.76,10.89,7.19,7.77
Andhra Pradesh,Cuddapah,Penagalur,Vadipalli Brahmagari Devalayam,Vadipalli Brahmagari Devalayam,99.4976,Semi confined,7.255397261,2.323360197,0.560460883,0.323466743,105.5923819,39.56995014,522.0340765,30.83768882,50.78244889,87.57882858,17.81659758,426.4025011,0.732891788,4.192592035,183.816124,14.2484,79.2357,Bore Well,12.26,14.87,13.34,6.04
Andhra Pradesh,Cuddapah,Pullampet,Pullampeta,Pullampet EW of AQ II,99.9777,Semi confined,7.255397261,2.639537064,0.288958533,0.213127008,105.5923819,32.83698127,522.0340765,24.22982808,40.61065933,48.81501112,9.215256461,363.7095187,0.903740221,1.577467,194.3779779,14.1208,79.2115,Bore Well,5.88,5.31,6.24,5.04
Andhra Pradesh,Cuddapah,Rajampet,Gundluru,Gundluru EW AQ I,99.4976,Semi confined,7.255397261,2.317935476,0.509576963,0.37034195,105.5923819,33.14131248,522.0340765,21.04624759,47.29707619,40.806839,25.01416642,312.5658971,0.899788968,7.553115097,251.0550578,14.2507,79.1138,Bore Well,2.66,3.17,2.83,2.76
Andhra Pradesh,Cuddapah,Rajampet,Kamapally,Kamapally EW AQ I,90.4426,Semi confined,7.255397261,2.783111798,0.466714563,0.206812141,105.5923819,34.89932105,522.0340765,23.46984515,52.22865885,82.74629018,18.83932781,251.5838893,0.718564696,2.965012973,258.1438969,14.1891,79.0088,Bore Well,11.5,9.42,15.96,11.48
Andhra Pradesh,Cuddapah,Ramapuram,Ramapuram,Ramapuram1,90.4426,Semi confined,7.255397261,2.238937646,0.425239312,0.117753699,105.5923819,41.1612834,522.0340765,25.81814076,42.08669837,123.6326498,11.47512581,230.1440507,0.727120927,2.156254193,234.8442602,14.1936,78.7603,Bore Well,4.89,4.91,7.99,4.6
Andhra Pradesh,Cuddapah,Rf,Guvvalacheruvu,Guvvalacheruvu,93.3974,Semi confined,7.255397261,2.200595392,0.528716,0.225756589,105.5923819,39.16558776,522.0340765,30.91802607,35.27899361,54.70431763,15.26241521,352.2331028,0.898852297,5.048494561,231.6797406,14.2969,78.7523,Dug Well,2.23,2.37,2.75,1.9
